Pali Canon,Cânone Pālī
saññākkhandha,Saññākkhandha
saññaṃ,saññaṃ
sanskrit,sânscrito
Sanskrit,Sânscrito
santati,Santati
Santati,Santati
Santīrana,Santīraṇa
Santuṭṭhi,Santuṭṭhi
sappāya,Sappāya
Sappurisa,Sappurisa
sāsava,Sāsava
sassata diṭṭhi,Sassata Diṭṭhi
sati,Sati
Sati,Sati
satiṃ,satiṃ
satimā,satimā
Satipatthāna,Satipaṭṭhāna
satipaṭṭhāna,Satipaṭṭhāna
satta,Satta
Satta,Satta
sattā,sattā
Sattapaṇṇi,Sattapaṇṇi
satto,satto
saupādisesa nibbāna,Saupādisesa Nibbāna
sāvaka,Sāvaka
Sāvaka,Sāvaka
sāvakā,sāvakā
Sayanā,Sayanā
sekha,Sekha
birds of a feather flock together,semelhante atrai semelhante
like attracts like,semelhante atrai semelhante
sīla,Sīla
Sīla,Sīla
sīla saṃvara,Sīla Saṃvara
Sīlabbata Parāmāsa,Sīlabbata Parāmāsa
sobhana cetasika,Sobhana Cetasika
sobhana citta,Sobhana Citta
sota indriya,Sota Indriya
sota viññāṇa,Sota Viññāṇa
sotapanna,Sotāpanna
sotāpanna,Sotāpanna
Sotāpanna,Sotāpanna
sōtapanna,Sotāpanna
sotāpatti,Sotāpatti
Sotāpatti,Sotāpatti
your gati,sua Gati
Sudassa,Sudassa
Sudassi,Sudassi
suddhāṭṭhaka,Suddhāṭṭhaka
Suddhāṭṭhaka,Suddhāṭṭhaka
sukha,Sukha
Sukha,Sukha
sukha vedanā,Sukha Vedanā
sukhaṃ,sukhaṃ
suññatā,Suññatā
Sura,Sura
Sootra,Sutra
sutra,Sutra
Sutra,Sutra
sutras,Sutras
Sutras,Sutras
sutta,Sutta
Sutta,Sutta
suttas,Suttā
Suttas,Suttā
suttās,Suttā
suttā,Suttā
Suttā,Suttā
sva,sva
taṃ,taṃ
tanha,Taṇhā
Tanha,Taṇhā
taṇhā,Taṇhā
Taṇhā,Taṇhā
taṇhā paccayā upādāna,Taṇhā Paccayā Upādāna
tasmā,tasmā
tasmātiha,tasmātiha
Tasmātiha,Tasmātiha
tathāgata,Tathāgata
Tathāgata,Tathāgata
tejo dhātu,Tejo Dhātu
bear in mind,tenha em mente
keep in mind,tenha em mente
tesaṃ,tesaṃ
tevijjā,Tevijjā
thero,Thero
Thero,Thero
thīna,Thīna
Thīna,Thīna
Tilakkhana,Tilakkhaṇa
Tiloka,Tiloka
Tipitaka,Tipiṭaka
tipiṭaka,Tipiṭaka
Tiratana,Tiratana
tvaṃ,tvaṃ
uccheda diṭṭhi,Uccheda Diṭṭhi
Udayabbaya,Udayabbaya
uddhacca,Uddhacca
Uddhacca,Uddhacca
uddhacca saṃyojana,Uddhacca Saṃyojana
uddhambhāgiya saṃyojana,Uddhambhāgiya Saṃyojana
uggaha nimitta,Uggaha Nimitta
an abhijjha,uma Abhijjhā
an avijja,uma Avijjā
a cetana,uma Cetanā
a gati,uma Gati
a karuna,uma Karuṇā
a metta,uma Mettā
a panna,uma Paññā
a paramita,uma Pāramitā
a saddha,uma Saddhā
a sati,uma Sati
a tanha,uma Taṇhā
an upekkha,uma Upekkhā
a vedana,uma Vedanā
a vimutti,uma Vimutti
a visuddhi,uma Visuddhi
upādāna,Upādāna
Upādāna,Upādāna
upādāna khandha,Upādāna Khandha
upādāna paccayā bhava,Upādāna Paccayā Bhava
upādānaṃ,upādānaṃ
upādinna rūpa,Upādinna Rūpa
upakkilesa,Upakkilesa
upanissaya paccaya,Upanissaya Paccaya
Upapatti,Upapatti
